param price_DAM :=
1 155.6
2 146.3
3 137.06
4 130.0
5 130.6
6 130.0
7 146.76
8 148.4
9 148.4
10 149.0
11 148.4
12 141.33
13 144.0
14 125.9
15 129.9
16 149.8
17 163.11
18 167.91
19 169.36
20 169.51
21 167.91
22 164.12
23 148.4
24 115.0
;
param price_prim_UP :=
1 202.08499999999998
2 192.785
3 183.545
4 176.48499999999999
5 177.08499999999998
6 176.48499999999999
7 193.24499999999998
8 194.885
9 194.885
10 195.48499999999999
11 194.885
12 187.815
13 190.48499999999999
14 172.385
15 176.385
16 196.285
17 209.595
18 214.39499999999998
19 215.845
20 215.99499999999998
21 214.39499999999998
22 210.605
23 194.885
24 161.48499999999999
;
param price_prim_DW :=
1 106.55999999999999
2 97.26
3 88.02
4 80.96
5 81.55999999999999
6 80.96
7 97.71999999999998
8 99.36
9 99.36
10 99.96
11 99.36
12 92.29
13 94.96
14 76.86
15 80.86
16 100.76
17 114.07000000000001
18 118.86999999999999
19 120.32000000000001
20 120.46999999999998
21 118.86999999999999
22 115.08
23 99.36
24 65.96
;
param price_sec_UP :=
1 326.567204
2 317.816747
3 310.680954
4 310.610028
5 0
6 311.700403
7 321.919071
8 321.670623
9 0
10 315.142174
11 316.506329
12 317.755364
13 316.365841
14 311.632872
15 311.592811
16 318.393488
17 319.731735
18 305.71134
19 290.108366
20 294.373237
21 0
22 318.301035
23 316.465023
24 318.301388
;
param price_sec_DW :=
1 120.098662
2 0
3 73.357143
4 73.448701
5 113.730159
6 93.61014
7 98.782463
8 96.130243
9 99.11905
10 98.414269
11 98.219355
12 0
13 0
14 90.625
15 93.089842
16 0
17 119.123644
18 122.305663
19 125.082413
20 124.522418
21 121.685553
22 119.903046
23 119.118664
24 91.519455
;
param offer_ter_UP :=
1 202.7174430313827
2 188.9494732192902
3 186.8658705758675
4 187.282310106691
5 187.2381608434385
6 192.4476388704554
7 205.7358992425028
8 219.1727185421244
9 224.675592023921
10 216.5758938349645
11 206.2117070733495
12 199.1342267275068
13 197.5747982253083
14 195.2945804064005
15 198.1023259562611
16 199.9988717141047
17 204.6659090217475
18 211.5438649640108
19 221.2854409906801
20 222.6008300839773
21 221.8870086811172
22 216.1067507993166
23 210.0746444198115
24 200.9669629141545
;
param offer_ter_DW :=
1 70.78029542995641
2 65.84905388399102
3 61.44007689620268
4 58.50980683246753
5 57.86449125881947
6 62.16886086461349
7 82.29748903520577
8 88.61770905466278
9 87.39201787512965
10 83.47287229064172
11 76.20326087857484
12 69.53227735060676
13 63.13116059412765
14 64.84969623997951
15 61.9622242730798
16 66.9465368850363
17 74.22448935149515
18 82.17050093211645
19 86.7646445429275
20 88.51737023030475
21 88.62336034717516
22 90.71624863845746
23 87.32882887856695
24 80.80091453322815
;
param perc_band_prim_UP :=
1 1 5.064444444444491
1 2 0.8311111111111318
1 3 0.6877777777777935
1 4 0.740000000000044
2 1 7.196666666666784
2 2 2.107777777777807
2 3 2.450000000000069
2 4 1.0800000000000716
3 1 8.366666666666651
3 2 3.6555555555556576
3 3 1.6055555555556105
3 4 1.1833333333333935
4 1 5.628888888888909
4 2 2.6866666666667585
4 3 3.7522222222223314
4 4 1.4166666666667274
5 1 8.087222222222321
5 2 2.012777777777847
5 3 0.42222222222223293
5 4 1.4855555555555986
6 1 4.002222222222321
6 2 1.4200000000000843
6 3 1.574444444444493
6 4 3.440000000000176
7 1 9.135000000000087
7 2 5.512777777777894
7 3 17.067222222222238
7 4 8.375000000000215
8 1 2.0111111111111994
8 2 4.498888888888953
8 3 4.2105555555556675
8 4 1.5827777777778185
9 1 6.842222222222248
9 2 3.782222222222281
9 3 4.175555555555582
9 4 3.000000000000072
10 1 10.775555555555593
10 2 1.0544444444444663
10 3 0.3400000000000051
10 4 1.0088888888889296
11 1 6.642222222222246
11 2 3.7633333333333727
11 3 1.1177777777778255
11 4 1.0988888888889177
12 1 14.262222222222148
12 2 5.697777777777909
12 3 1.0377777777778299
12 4 2.084444444444513
13 1 4.621111111111187
13 2 1.8911111111111885
13 3 4.796666666666786
13 4 0.44333333333335795
14 1 3.0033333333334222
14 2 1.1166666666667255
14 3 5.111111111111234
14 4 5.8433333333334785
15 1 1.4933333333333656
15 2 4.46666666666681
15 3 8.583333333333389
15 4 3.697777777777875
16 1 0.5866666666666808
16 2 2.192222222222284
16 3 11.332222222222242
16 4 5.773333333333493
17 1 1.0988888888889214
17 2 5.911111111111287
17 3 9.227777777777927
17 4 7.96666666666679
18 1 4.69666666666669
18 2 8.853888888888934
18 3 13.835555555555628
18 4 13.038333333333233
19 1 0.7233333333333449
19 2 6.788888888889033
19 3 9.062777777777846
19 4 14.73444444444435
20 1 11.638333333333337
20 2 2.6377777777778264
20 3 1.654444444444496
20 4 0.16111111111112247
21 1 12.395555555555518
21 2 0.16888888888889003
21 3 2.617777777777878
21 4 1.568888888888943
22 1 14.253333333333423
22 2 0.3433333333333384
22 3 1.9600000000000577
22 4 0.2522222222222344
23 1 3.118888888888988
23 2 1.3411111111111356
23 3 3.16000000000007
23 4 0.08333333333333649
24 1 24.321666666666623
24 2 5.8661111111111115
24 3 1.626666666666736
24 4 1.2988888888889323
;
param perc_band_prim_DW :=
1 1 3.0700000000001237
1 2 5.097777777777881
1 3 4.074444444444517
1 4 4.715555555555695
2 1 0.8600000000000405
2 2 2.8777777777778972
2 3 2.327777777777796
2 4 3.34000000000017
3 1 1.2722222222222566
3 2 0.9200000000000506
3 3 1.603333333333393
3 4 1.363333333333416
4 1 2.2033333333334015
4 2 1.1700000000000998
4 3 1.8355555555556142
4 4 2.710000000000083
5 1 0.045555555555559915
5 2 2.3261111111112482
5 3 4.799444444444572
5 4 1.5705555555556412
6 1 2.153888888888908
6 2 3.407777777777913
6 3 2.135555555555661
6 4 1.728888888888948
7 1 0.5766666666666885
7 2 0.6055555555555967
7 3 0.0
7 4 0.24166666666667977
8 1 2.6061111111112245
8 2 2.4000000000000736
8 3 0.9111111111111346
8 4 4.813333333333427
9 1 1.650000000000056
9 2 4.403333333333351
9 3 5.013888888889012
9 4 2.3294444444445497
10 1 0.9911111111111617
10 2 4.8111111111112725
10 3 11.148333333333424
10 4 5.886111111111322
11 1 4.485000000000056
11 2 2.968888888888921
11 3 2.612777777777887
11 4 4.286111111111288
12 1 0.12944444444445857
12 2 1.0622222222222801
12 3 6.113333333333412
12 4 5.640000000000137
13 1 0.8472222222222926
13 2 4.106111111111206
13 3 2.90666666666669
13 4 7.696666666666875
14 1 1.9038888888889798
14 2 5.758333333333473
14 3 0.6344444444444812
14 4 1.2022222222222856
15 1 4.0477777777779
15 2 0.8277777777778144
15 3 0.22000000000001624
15 4 2.6555555555555803
16 1 8.310000000000048
16 2 3.2533333333334644
16 3 0.35444444444444345
16 4 1.1600000000000676
17 1 9.170000000000135
17 2 1.0122222222222637
17 3 0.07555555555555316
17 4 0.3533333333333467
18 1 4.425555555555666
18 2 3.316666666666706
18 3 0.0788888888888945
18 4 2.6366666666666516
19 1 13.332222222222223
19 2 1.3622222222222966
19 3 0.5266666666666867
19 4 0.024444444444450635
20 1 0.49444444444446833
20 2 1.5344444444445084
20 3 4.487777777777945
20 4 11.480000000000112
21 1 3.1138888888889698
21 2 9.966111111111191
21 3 4.091111111111138
21 4 6.148333333333456
22 1 1.5461111111111592
